Date,Open,High,Low,Close,Volume
2025-06-17 13:30:00,197.2,198.39,195.21,195.64,216470.85
2025-06-18 13:30:00,195.92,197.57,195.07,196.58,254439.92
2025-06-20 13:30:00,198.12,201.7,196.85,201.0,465510.6
2025-06-23 13:30:00,201.59,202.3,198.96,201.5,278314.03
2025-06-24 13:30:00,202.59,203.44,200.2,200.3,335995.93
2025-06-25 13:30:00,201.45,203.67,200.62,201.56,234833.5
2025-06-26 13:30:00,201.44,202.64,199.46,201.0,315042.89
2025-06-27 13:30:00,201.92,203.22,200.0,201.08,327057.04
2025-06-30 13:30:00,202.06,207.39,199.26,205.17,540831.93
2025-07-01 13:30:00,206.72,210.19,206.14,207.82,516742.63
2025-07-02 13:30:00,208.99,213.34,208.14,212.44,477097.93
2025-07-03 13:30:00,212.07,214.65,211.81,213.55,219069.11
2025-07-07 13:30:00,212.72,216.23,208.8,209.95,305947.86
2025-07-08 13:30:00,210.1,211.43,208.45,210.01,246164.07
2025-07-09 13:30:00,209.53,211.33,207.22,211.14,306316.85
2025-07-10 13:30:00,210.44,213.48,210.03,212.41,283790.09
2025-07-11 13:30:00,210.43,212.13,209.86,211.16,215582.84
2025-07-14 13:30:00,209.93,210.91,207.54,208.62,239365.67
2025-07-15 13:30:00,209.22,211.89,208.92,209.11,238392.75
2025-07-16 13:30:00,210.3,212.4,208.64,210.16,260592.17
2025-07-17 13:30:00,210.72,211.8,209.59,210.02,288290.0
2025-07-18 13:30:00,210.66,211.79,209.7,211.18,267089.36
2025-07-21 13:30:00,212.14,215.78,211.63,212.48,318755.34
2025-07-22 13:30:00,213.29,214.95,212.23,214.4,284347.41
2025-07-23 13:30:00,215.09,215.15,212.41,214.15,280319.59
2025-07-24 13:30:00,213.9,215.69,213.53,213.76,276905.72
2025-07-25 13:30:00,214.64,215.24,213.4,213.88,224367.74
2025-07-28 13:30:00,214.0,214.85,213.06,214.05,209812.92
2025-07-29 13:30:00,214.16,214.81,210.89,211.27,282118.43
2025-07-30 13:30:00,211.9,212.39,207.72,209.05,217965.08
2025-07-31 13:30:00,208.49,209.84,207.16,207.57,353402.53
2025-08-01 13:30:00,210.95,213.58,201.5,202.38,611561.44
2025-08-04 13:30:00,204.46,207.88,201.67,203.35,415554.68
2025-08-05 13:30:00,203.4,205.34,202.16,202.92,260165.26
2025-08-06 13:30:00,205.63,215.38,205.59,213.25,689849.52
2025-08-07 13:30:00,218.89,220.85,216.58,220.03,605012.83
2025-08-08 13:30:00,220.86,231.0,219.25,229.35,812841.12
2025-08-11 13:30:00,227.93,229.56,224.76,227.18,374530.42
2025-08-12 13:30:00,228.01,230.8,227.07,229.65,315574.21
2025-08-13 13:30:00,231.07,235.0,230.43,233.33,434868.33
2025-08-14 13:30:00,234.01,235.06,230.85,232.78,293393.67
2025-08-15 13:30:00,234.0,234.28,229.36,231.59,279819.15
2025-08-18 13:30:00,231.77,233.12,230.11,230.89,214190.78
2025-08-19 13:30:00,231.28,232.87,229.35,230.56,211766.89
2025-08-20 13:30:00,229.97,230.47,225.77,226.01,234020.34
2025-08-21 13:30:00,226.27,226.52,223.78,224.9,189424.7
2025-08-22 13:30:00,226.17,229.09,225.41,227.76,231984.21
2025-08-25 13:30:00,226.48,229.3,226.23,227.16,185627.72
2025-08-26 13:30:00,226.86,229.49,224.69,229.31,199194.35
2025-08-27 13:30:00,228.69,230.9,228.26,230.49,181884.38
2025-08-28 13:30:00,230.82,233.41,229.33,232.56,207230.21
2025-08-29 13:30:00,232.55,233.38,231.37,232.14,210764.2
2025-09-02 13:30:00,229.25,230.85,226.97,229.72,225378.1
2025-09-03 13:30:00,237.21,238.85,234.36,238.47,418777.14
